충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
청평면사무소,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 청평면 은고개로 19,경기도 가평군 청평면 청평리 333-1번지,한국자동차 환경협회,1661-9408,37.7404626,127.4241417,2019-05-14
가평군청,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 석봉로 181,경기도 가평군 가평읍 읍내리 513번지,한국자동차 환경협회,1661-9408,37.8310576,127.509531,2019-05-14
가평읍사무소,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 가화로 62,경기도 가평군 가평읍 읍내리 366번지,한국전기차충전서비스,1522-1782,37.8253638,127.5165387,2019-05-14
가평환경성질환 예방관리센터,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 상면 수목원로 300-56,경기도 가평군 상면 행현리 696번지,한국자동차 환경협회,1661-9408,37.7696008,127.332899,2019-05-14
조종면사무소,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 조종면 조종내길 71,경기도 가평군 조종면 현리 567-7번지,한국전력,1899-2100,37.8177213,127.3531875,2019-05-14
상면사무소,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 상면 청군로 1105,경기도 가평군 상면 연하리 171-1번지,한국전력,1899-2100,37.8047464,127.3571545,2019-05-14
가평군농업기술센터,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100번지,지엔텔,1544-4297,37.8461842,127.4978147,2019-05-14
설악면사무소,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 설악면 한서로 8,경기도 가평군 설악면 신천리 156-1번지,한국전력,1899-2100,37.6762190,127.4947045,2019-05-14
고양시 이마트(일산점),본관B2층 G6구역,경기도,연중무휴,00:00,24:00,Y,N,듀얼타입,2,0,N,경기도 고양시 일산동구 중앙로 1124,경기도 고양시 일산동구 백석동 1194번지 흰돌마을1단지아파트,포스코ICT,1600-4047,37.64808727,126.7822564,2019-06-19
능곡주민센터,지상1층주차장,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 토당로 83,경기도 고양시 덕양구 토당동 335-4번지,한국전력공사,1661-9408,37.62269327,126.8180348,2019-06-19
고양시 이마트(화정점),본관4층 1구역,경기도,연중무휴,00:00,24:00,Y,N,듀얼타입,2,0,N,경기도 고양시 덕양구 백양로 79,경기도 고양시 덕양구 화정동 976번지,포스코ICT,1600-4047,37.632612,126.8333997,2019-06-19
고양시 이마트(덕이점),본관2층 C6구역,경기도,연중무휴,00:00,24:00,Y,N,듀얼타입,2,0,N,경기도 고양시 일산서구 경의로 798,경기도 고양시 일산서구 덕이동 205번지,포스코ICT,1600-4047,37.68850224,126.7603068,2019-06-19
덕양구청 주차장,입구 좌측,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 화중로104번길 13,경기도 고양시 덕양구 화정동 955번지,한국자동차환경협회,1661-9409,37.63746533,126.8322924,2019-06-19
한국전력공사 고양지사,1층주차장,경기도,연중무휴,00:00,24:00,Y,Y,듀얼타입,7,2,N,경기도 고양시 일산동구 장백로 39,경기도 고양시 일산동구 백석동 1310번지,한국전력공사,1661-9408,37.64138324,126.7877961,2019-06-19
백석2공영주차장,지상1층주차장,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산동구 장백로 15-7,경기도 고양시 일산동구 백석동 1315번지,한국전기차충전서비스,1522-1782,37.63962374,126.7893737,2019-06-19
백석1공영주차장,지상1층주차장,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산동구 장백로 31-12,경기도 고양시 일산동구 백석동 1311번지,에스트래픽,080-805-0010,37.64058987,126.7875174,2019-06-19
성사2공영주차장,지상1층주차장,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,,경기도 고양시 덕양구 성사동 721,한국전기차충전서비스,1522-1782,37.65319829,126.8386118,2019-06-19
화정환승공영주차장,지상1층주차장,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 화정로 지하 63,경기도 고양시 덕양구 화정동 963번지,한국전력공사,1661-9408,37.63495085,126.8330457,2019-06-19
여성회관(행신동),지상1층주차장,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 용현로 48,경기도 고양시 덕양구 행신동 774번지,한국전력공사,1661-9408,37.61725991,126.8362024,2019-06-19
롯데마트 주엽점,지하주차장 2층 210구역,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산서구 중앙로 1496,경기도 고양시 일산서구 주엽동 15번지 문촌마을11단지아파트,한국자동차환경협회,1661-9408,37.67318966,126.7552416,2019-06-19
롯데마트 고양점,지상주차장 4층 422구역,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 충장로 150,경기도 고양시 덕양구 행신동 941번지,한국자동차환경협회,1661-9408,37.62518851,126.836162,2019-06-19
고양종합운동장 부설주차장,대형주차장 왼쪽도로변,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2320번지,한국자동차환경협회,1661-9409,37.6764217,126.7430656,2019-06-19
롯데마트 화정점,2층주차장 입구 정면,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 화중로 66,경기도 고양시 덕양구 화정동 982번지,한국자동차환경협회,1661-9408,37.63294793,126.8311243,2019-06-19
고양시 이마트(타운킨텍스점),지하2층,경기도,연중무휴,00:00,24:00,Y,N,듀얼타입,5,0,N,경기도 고양시 일산서구 킨텍스로 171,경기도 고양시 일산서구 대화동 2703번지,포스코ICT,1600-4047,37.66158296,126.7440642,2019-06-19
킨텍스 공영주차장,지상1층주차장,경기도,연중무휴,00:00,24:00,Y,Y,듀얼타입,2,1,N,경기도 고양시 일산서구 킨텍스로 237-18,경기도 고양시 일산서구 대화동 2600-4번지,한국전기차충전서비스,1522-1782,37.66719771,126.7473409,2019-06-19
고양시청,주차장 입구 전 우측,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600번지,한국자동차환경협회,1661-9408,37.658415,126.831961,2019-06-19
일산동구청,주차장 좌측,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산동구 중앙로 1256,경기도 고양시 일산동구 마두동 815번지,한국자동차환경협회,1661-9408,37.65888174,126.7749581,2019-06-19
고양시 이마트(풍산점),본관6층 A구역,경기도,연중무휴,00:00,24:00,Y,N,듀얼타입,1,0,N,경기도 고양시 일산동구 무궁화로 237,경기도 고양시 일산동구 중산동 1809번지,포스코ICT,1600-4047,37.6738534,126.7871414,2019-06-19
주교1공영주차장,지상1층주차장,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 고양대로 1330,경기도 고양시 덕양구 주교동 206-1번지,한국전기차충전서비스,1522-1782,37.65559958,126.8317801,2019-06-19
탄현제5공용주차장,지상1층주차장,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,,경기도 고양시 일산서구 탄현동 1489,지엔텔,1544-4279,37.69438014,126.7690174,2019-06-19
원당환승주차장,지상1층주차장,경기도,연중무휴,00:00,24:00,Y,Y,듀얼타입,1,1,N,경기도 고양시 덕양구 호국로790번길 102,경기도 고양시 덕양구 성사동 394번지,한국전기차충전서비스,1522-1782,37.65408443,126.8410987,2019-06-19
한국건설기술연구원,지상1층주차장,경기도,연중무휴,00:00,24:00,Y,Y,듀얼타입,2,1,N,경기도 고양시 일산서구 고양대로 315,경기도 고양시 일산서구 대화동 2311번지,한국전력공사,1661-9408,37.67211452,126.7395484,2019-06-19
고양종합터미널환승주차장,지상1층주차장,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 일산동구 중앙로 1036,경기도 고양시 일산동구 백석동 1242번지,한국전력공사,1661-9408,37.64317774,126.7896628,2019-06-19
고양시 원마운트,1주차장 입구,경기도,연중무휴,00:00,24:00,Y,N,듀얼타입,3,0,N,경기도 고양시 일산서구 한류월드로 300,경기도 고양시 일산서구 대화동 2606번지,포스코ICT,1600-4047,37.6645532,126.7545265,2019-06-19
별양동1 공영주차장,경기도 과천시 중앙로 100,경기도,연중무휴,00:00,24:00,Y,Y,DC차데모+AC3상,1,1,N,경기도 과천시 중앙로 지하 100,경기도 과천시 별양동 1,(주)한국전기차충전서비스,1522-1782,37.4439497,126.991468,2019-05-10
과천시청,"경기도 과천시 관문로 69, 과천시청",경기도,연중무휴,00:00,24:00,Y,Y,DC차데모+AC3상,1,2,Y,경기도 과천시 관문로 69,경기도 과천시 중앙동 1-3번지 과천시청,한국자동차환경협회/지엔텔,1661-9408,37.428564,126.988231,2019-05-10
갈현동 주민센터,경기도 과천시 중앙로 28,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상,,1,N,경기도 과천시 중앙로 28,경기도 과천시 갈현동 679번지,한국자동차환경협회,1661-0970,37.419604,126.989121,2019-05-10
과천동 뒷골 공영주차장,경기도 과천시 뒷골로 12-9,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상,,1,N,경기도 과천시 뒷골로 12-9,경기도 과천시 과천동 368번지,(주)한국전기차충전서비스,1522-1782,37.453738,127.000881,2019-05-10
과천청사,경기도 과천시 관문로 47,경기도,연중무휴,09:00,18:00,Y,N,AC완속,4,,N,경기도 과천시 관문로 47,경기도 과천시 중앙동 1번지,에스트래픽,080-805-0010,37.448501,126.995232,2019-05-10
과천시 과천동회관,경기도 과천시 과천대로 608-7  지하1층 주차장,경기도,연중무휴,09:00,18:00,Y,N,AC완속,1,,N,경기도 과천시 과천대로 608-7,경기도 과천시 과천동 538-9번지 지하1층 주차장,포스코ICT,1600-4047,37.448271,126.995221,2019-05-10
과천시 부림동 주민센터,경기도 과천시 별양로 174  지하주차장,경기도,연중무휴,09:00,18:00,Y,N,AC완속,1,,N,경기도 과천시 별양로 174,경기도 과천시 부림동 47번지 지하주차장,(주)한국전기차충전서비스,1522-1782,37.433762,126.998488,2019-05-10
중앙동 주민센터,경기도 과천시 관문로 136  지하주차장,경기도,연중무휴,09:00,18:00,Y,N,AC완속,1,,N,경기도 과천시 관문로 136,경기도 과천시 중앙동 68번지 지하주차장,포스코ICT,1600-4047,37.433667,126.993064,2019-05-10
과천시 장군마을공영주차장,경기도 과천시 장군마을길 61  지상1층주차장(정문 오른쪽)(주암동 55 지상1층주차장(정문 오른쪽)),경기도,연중무휴,07:00,23:00,N,Y,DC차데모+AC3상,,1,N,경기도 과천시 장군마을길 61,경기도 과천시 주암동 55번지 지상1층주차장(정문 오른쪽)(55 지상1층주차장(정문 오른쪽)),지엔텔,055-604-1865,37.4895125,127.0250802,2019-05-10
과천시 문원동주민센터,경기도 과천시 아랫배랭이로 35 지상1층주차장(문원동 187-1 지상1층주차장),경기도,연중무휴,00:00,24:00,Y,N,AC완속,1,,N,경기도 과천시 아랫배랭이로 35,경기도 과천시 문원동 187-1번지 지상1층주차장(187-1 지상1층주차장),지엔텔,055-604-1865,37.426698,127.002035,2019-05-10
관문체육공원,경기 과천시 중앙로 294,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상,,1,N,경기도 과천시 중앙로 294,경기도 과천시 관문동 3번지,한국자동차환경협회,1661-9408,37.441033,126.9965429,2019-05-10
사기막골1공영주차장,경기도 과천시 문원동 324-14,경기도,연중무휴,00:00,24:00,Y,N,AC완속,1,,N,,경기도 과천시 문원동 324-14,(주)한국전기차충전서비스,1522-1782,37.420008,126.999044,2019-05-10
광명전통시장공영주차장,광명전통시장공영주차장 1층,경기도,없음,00:00,24:00,Y,Y,,3,1,Y,경기도 광명시 광명로 938,경기도 광명시 광명동 102-4번지,한국전기차충전서비스㈜,02-562-5578,37.4823343961,126.856093465,2019-09-09
이마트광명소하점,지상6층주차장내,경기도,"매월2, 4째주 일요일",10:00,24:00,Y,N,,2,,N,경기도 광명시 소하로 97,경기도 광명시 소하동 1339-3번지,포스코 ICT/BMW,031-961-1945,37.4465470,126.8844653,2019-09-09
광명1동행정복지센터,광복로31번길 10 지하주차장,경기도,공휴일,09:00,18:00,Y,N,,1,,N,경기도 광명시 광복로31번길 10,경기도 광명시 광명동 9-33번지,포스코 ICT,1600-4047,37.4885827,126.8626613,2019-09-09
하안4동주민센터,경기도 광명시 안현로 54,경기도,없음,00:00,24:00,Y,N,,1,,N,경기도 광명시 안현로 54,경기도 광명시 하안동 30-2번지,포스코 ICT,1600-4047,37.4656772,126.8777287,2019-09-09
퇴촌면사무소,주차장,경기도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 광주시 퇴촌면 탑골길 6,경기도 광주시 퇴촌면 광동리 327-1번지,한국전기차충전서비스,1522-1782,37.46690935,127.3071219,2019-09-25
광주시 송정동 행정복지센터,주차장,경기도,연중무휴,00:00,23:59,Y,N,AC완속,1,0,N,경기도 광주시 탄벌길 6,경기도 광주시 탄벌동 717-5번지 주차장,포스코ICT,1600-4047,37.4196895979,127.2460999467,2019-09-25
광주경찰서,주차장,경기도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 광주시 포돌이로 135,경기도 광주시 탄벌동 541-2번지,에스트래픽,080-805-0010,37.40882529,127.2394958,2019-09-25
한국기술교육대학교 고용노동연수원,주차장,경기도,연중무휴,00:00,23:59,Y,N,AC완속,1,0,N,경기도 광주시 오포읍 봉골길 229,경기도 광주시 오포읍 문형리 3번지 고용노동연수원,케이티,1522-0123,37.36517272,127.191267,2019-09-25
현대글로비스 분당경매장,주차장,경기도,연중무휴,00:00,23:59,Y,N,AC완속,1,0,Y,경기도 광주시 오포읍 능평로 167,경기도 광주시 오포읍 능평리 174-25번지 현대글로비스분당경매장,에버온,1661-7766,37.3462160114,127.1757162138,2019-09-25
경안동 공영주차장,주차장 1층 안쪽,경기도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,경기도 광주시 경안로 13-6,경기도 광주시 경안동 30-6번지,환경부(한국자동차환경협회),1661-9408,37.40940859,127.2590209,2019-09-25
광주시 광주시청주차장,옥외3층주차장(제3주차장),경기도,연중무휴,00:00,23:59,N,Y,AC완속,0,1,N,경기도 광주시 행정타운로 50,경기도 광주시 송정동 570번지,지엔텔,1544-4279,37.4292862188,127.2550852,2019-09-25
광주시 광주시청주차장,옥외3층주차장(제3주차장),경기도,연중무휴,00:00,23:59,Y,N,DC차데모+AC3상+DC콤보,1,0,N,경기도 광주시 행정타운로 50,경기도 광주시 송정동 570번지,지엔텔,1544-4279,37.4292862188,127.2550852,2019-09-25
광주시 오포읍사무소,지상1층주차장,경기도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 광주시 오포읍 오포로859번길 29,경기도 광주시 오포읍 추자리 102-16번지,지엔텔,1544-4279,37.36616071,127.2286249,2019-09-25
동원대학교,공학관/대학본부/새천년관,경기도,연중무휴,00:00,23:59,Y,N,AC완속,1,0,N,경기도 광주시 곤지암읍 경충대로 26,경기도 광주시 곤지암읍 신촌리 산1-1번지,한국전기차충전서비스,1522-1782,37.3280788,127.4014441,2019-09-25
동원대학교,공학관/대학본부/새천년관,경기도,연중무휴,00:00,23:59,Y,N,AC완속,1,0,N,경기도 광주시 곤지암읍 경충대로 26,경기도 광주시 곤지암읍 신촌리 산1-1번지,한국전기차충전서비스,1522-1782,37.3280788,127.4014441,2019-09-25
동원대학교,공학관/대학본부/새천년관,경기도,연중무휴,00:00,23:59,Y,N,AC완속,1,0,N,경기도 광주시 곤지암읍 경충대로 26,경기도 광주시 곤지암읍 신촌리 산1-1번지,한국전기차충전서비스,1522-1782,37.3280788,127.4014441,2019-09-25
한국기술교육대학교 고용노동연수원,주차장,경기도,연중무휴,00:00,23:59,Y,N,AC완속,1,0,N,경기도 광주시 오포읍 봉골길 229,경기도 광주시 오포읍 문형리 3번지 고용노동연수원,케이티,1522-0123,37.36517272,127.191267,2019-09-25
동원대학교,공학관/대학본부/새천년관,경기도,연중무휴,00:00,23:59,Y,N,AC완속,1,0,N,경기도 광주시 곤지암읍 경충대로 26,경기도 광주시 곤지암읍 신촌리 산1-1번지,한국전기차충전서비스,1522-1782,37.3280788,127.4014441,2019-09-25
대원주유소,광장주유소,경기도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 광주시 오포읍 포은대로 38,경기도 광주시 오포읍 문형리 557-2번지 광장주유소,케이티,031-767-5907,37.3431508,127.2019989,2019-09-25
광주시 경안동 행정복지센터,주차장,경기도,연중무휴,00:00,23:59,Y,N,AC완속,1,0,Y,경기도 광주시 중앙로 125,경기도 광주시 경안동 53-2번지,포스코ICT,1600-4047,37.41086665,127.2572897600,2019-09-25
광주시 이마트(경기광주점),본관B3층,경기도,별도확인,10:00,23:00,Y,N,AC완속,1,0,Y,경기도 광주시 광주대로 30,경기도 광주시 경안동 25-3번지,포스코ICT,1600-4047,37.4096378479,127.2612448,2019-09-25
경안시장 공영주차장,1층 화장실 옆,경기도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,경기도 광주시 중앙로 103-5,경기도 광주시 경안동 33-37번지,환경부(한국자동차환경협회),1661-9408,37.4087986313,127.2576939,2019-09-25
경기광주휴게소(원주방향),주차장,경기도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 광주시 곤지암읍 만삼로 270,경기도 광주시 곤지암읍 삼합리 산27-2번지,환경부(한국자동차환경협회),1661-9408,37.3784903305,127.4363389568,2019-09-25
경기광주휴게소(서울방향),주차장,경기도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 광주시 곤지암읍 만삼로 211,경기도 광주시 곤지암읍 유사리 산30-2번지,환경부(한국자동차환경협회),1661-9408,37.3804078951,127.4243997837,2019-09-25
구리시 수택2동 행정복지센터,지상주차장,경기도,연중무휴,00:00,23:59,Y,N,,1,0,N,경기도 구리시 원수택로12번길 16,경기도 구리시 수택동 445-28번지,포스코ICT,031-723-2532,37.593192,127.140062,2019-04-23
구리시 교문자동차공업사,정비소입구 주차장,경기도,연중무휴,00:00,23:59,Y,N,,1,0,N,경기도 구리시 동구릉로200번길 18,경기도 구리시 인창동 71번지,포스코ICT,031-723-2532,37.616438,127.139165,2019-04-23
한국지엠구리바로서비스,주차장,경기도,연중무휴,00:00,23:59,Y,N,,1,0,N,경기도 구리시 한다리길 21,경기도 구리시 교문동 640-2번지,케이티,1522-0123,37.580410,127.127400,2019-04-23
구리시 동구동 행정복지센터,주차장,경기도,연중무휴,00:00,23:59,Y,N,,1,0,N,경기도 구리시 동구릉로148번길 25,경기도 구리시 인창동 699-1번지,포스코ICT,031-723-2532,37.611730,127.139300,2019-04-23
롯데아울렛 구리점,지하3층 주차장,경기도,연중무휴,00:00,23:59,Y,N,,2,0,N,경기도 구리시 동구릉로136번길 47,경기도 구리시 인창동 419-7번지,포스코ICT,031-723-2532,37.611879,127.140489,2019-04-23
인창문화센터,1층 주차장,경기도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 구리시 동구릉로53번길 34,경기도 구리시 인창동 527-37번지,한국전력,031-560-3237,37.606411,127.133104,2019-04-23
구리시 수택3동 행정복지센터,주차장,경기도,연중무휴,00:00,23:59,N,Y,DC콤보,0,2,Y,경기도 구리시 체육관로 74,경기도 구리시 수택동 848번지,한국전기차충전서비스,02-562-5578,37.591400,127.138500,2019-04-23
구리갈매푸르지오아파트,단지내,경기도,연중무휴,00:00,23:59,Y,N,,13,0,N,경기도 구리시 갈매중앙로 16,경기도 구리시 갈매동 640번지 구리갈매푸르지오아파트,포스코ICT,031-723-2532,37.626340,127.114000,2019-04-23
장자마을 동양아파트,지하1층 주차장,경기도,연중무휴,00:00,23:59,Y,N,,3,0,Y,"경기도 구리시 장자대로 66(교문동, 동양아파트)",경기도 구리시 교문동 825번지 동양아파트,지엔텔,031-555-4504,37.586494,127.137935,2019-04-23
구리휴게소(외측방향),소형차 주차장 중앙,경기도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 구리시 서울외곽순환고속도로 32,경기도 구리시 사노동 170-13번지,환경부(한국자동차환경협회),031-529-3564,37.627986,127.139536,2019-04-23
구리시 수택1동 행정복지센터,지상주차장,경기도,연중무휴,00:00,23:59,Y,N,,1,0,N,경기도 구리시 검배로93번길 35,경기도 구리시 수택동 495-8번지,포스코ICT,031-723-2532,37.596421,127.149148,2019-04-23
구리시 보건소,지하1층 주차장,경기도,연중무휴,00:00,23:59,Y,N,,1,0,N,경기도 구리시 건원대로34번길 84,경기도 구리시 인창동 674-3번지,포스코ICT,031-723-2532,37.604625,127.145081,2019-04-23
구리시 교문1동 행정복지센터,지상주차장,경기도,연중무휴,00:00,23:59,Y,N,,1,0,N,경기도 구리시 경춘로 111,경기도 구리시 교문동 262-4번지,포스코ICT,031-723-2532,37.601174,127.127681,2019-04-23
구리농수산물공사도매시장,친환경유기농농산물전문매장 근처 주차장,경기도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 구리시 동구릉로136번길 90,경기도 구리시 인창동 127번지,한국전기차충전서비스,02-562-5578,37.613128,127.144644,2019-04-23
구리경찰서,본관왼쪽서편주차장,경기도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 구리시 아차산로 359,경기도 구리시 교문동 462-3번지,한국전기차충전서비스,02-562-5578,37.587279,127.128911,2019-04-23
갈매중앙공원,물놀이장 근처 주차장,경기도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,,경기도 구리시 갈매동 301-5,한국전기차충전서비스,02-562-5578,37.632971,127.118605,2019-04-23
구리시청,본관 건축과 옆 주차장,경기도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,Y,경기도 구리시 아차산로 439,경기도 구리시 교문동 390-1번지,환경부(한국자동차환경협회),1661-9408,37.594872,127.129686,2019-04-23
