충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
한국전력 구리지사,1층 주차장,경기도,연중무휴,06:00,23:00,N,Y,AC3상+DC차데모+DC콤보,0,2,N,경기도 구리시 안골로 31,경기도 구리시 교문동 733번지,한국전력,031-560-3237,37.597827,127.134918,2019-04-23
대야도서관,외부민원주차장,경기도,해당없음,00:00,24:00,Y,N,,1,0,N,경기도 군포시 대야2로 139,경기도 군포시 대야미동 636-7번지,지엔텔,1544-4279,37.3303895,126.915247,2020-05-04
수리산상상마을,외부주차장,경기도,해당없음,00:00,24:00,N,Y,"DC차데모, DC콤보, AC3상",0,3,N,경기도 군포시 수리산로 112,경기도 군포시 산본동 1151-10번지,한국자동차환경협회,1661-9408,37.3588297,126.917931,2020-05-04
군포시청민원주차장,민원주차장,경기도,해당없음,00:00,24:00,Y,Y,"DC차데모, DC콤보, AC3상",1,2,Y,경기도 군포시 청백리길 6,경기도 군포시 금정동 844번지,한국전기차충전서비스,1522-1782,37.360673,126.935039,2020-05-04
송죽공영주차장,주차장 내,경기도,해당없음,00:00,24:00,N,Y,"DC차데모, DC콤보, AC3상",0,1,Y,경기도 군포시 군포로609번안길 12,경기도 군포시 금정동 774번지,한국자동차환경협회,1661-9408,37.3608998,126.947228,2020-05-04
롯데마트 피트인산본점,주차장 내,경기도,해당없음,10:00,23:00,N,Y,"DC차데모, DC콤보, AC3상",0,1,Y,경기도 군포시 번영로 485,경기도 군포시 산본동 1145-6번지,한국자동차환경협회,1661-9408,37.3578052,126.930666,2020-05-04
군포부곡도서관,외부주차장,경기도,해당없음,00:00,24:00,N,Y,"DC차데모, DC콤보",0,2,N,경기도 군포시 송부로221번길 3-10,경기도 군포시 부곡동 1089번지,한국전기차충전서비스,1522-1782,37.3240672,126.935662,2020-05-04
군포시립중앙도서관,외부주차장,경기도,금요일,09:00,22:00,N,Y,"DC차데모, DC콤보",0,2,N,경기도 군포시 수리산로 79,경기도 군포시 산본동 1152번지,한국전기차충전서비스,1522-1782,37.3552658,126.916183,2020-05-04
초막골생태공원,생태주차장,경기도,해당없음,00:00,24:00,N,Y,"DC차데모, DC콤보, AC3상",0,2,Y,경기도 군포시 초막골길 216,경기도 군포시 산본동 856번지,지엔텔,1544-4279,37.3541001,126.919139,2020-05-04
당동제1공영주차장,1층,경기도,해당없음,00:00,24:00,N,Y,"DC차데모, DC콤보, AC3상",0,1,Y,경기도 군포시 금당로69번길 2,경기도 군포시 당동 945번지,지엔텔,1544-4279,37.3540013,126.941068,2020-05-04
군포국민체육센터,외부주차장,경기도,해당없음,00:00,24:00,N,Y,"DC차데모, DC콤보",0,2,Y,경기도 군포시 군포로 339,경기도 군포시 부곡동 1226번지,한국자동차환경협회,1661-9408,37.3391279,126.935563,2020-05-04
고랑치기공영주차장,1층,경기도,해당없음,00:00,24:00,N,Y,"DC차데모, DC콤보, AC3상",0,2,Y,경기도 군포시 군포첨단산업2로 13,경기도 군포시 부곡동 1246-1번지,한국자동차환경협회,1661-9408,37.3266031,126.9416808,2020-05-04
대야제5공영주차장,주차장 내,경기도,해당없음,00:00,24:00,N,Y,"DC차데모, DC콤보, AC3상",0,2,N,,경기도 군포시 대야미동 649-1,한국자동차환경협회,1661-9408,37.3290695,126.919121,2020-05-04
당정12공영주차장,주차장 내,경기도,해당없음,08:00,24:00,N,Y,"DC차데모, DC콤보, AC3상",0,2,Y,경기도 군포시 당정역로 100,경기도 군포시 당정동 1009-1번지,한국자동차환경협회,1661-9408,37.345077,126.949038,2020-05-04
당정역광장주차장,주차장 내,경기도,해당없음,08:00,24:00,N,Y,"DC차데모, DC콤보, AC3상",0,3,Y,경기도 군포시 용호2로54번길 40,경기도 군포시 당정동 750번지,한국자동차환경협회,1661-9408,37.3429345,126.947999,2020-05-04
군포시청앞주차장,구 차량등록과,경기도,해당없음,00:00,24:00,N,Y,"DC차데모, DC콤보, AC3상",0,1,Y,경기도 군포시 청백리길 13,경기도 군포시 금정동 845-1번지,한국전기차충전서비스,1522-1782,37.3616343,126.933227,2020-05-04
오스타파라곤1단지,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,"경기도 김포시 걸포1로11, (걸포동, 오스타파라곤1단지)",경기도 김포시 걸포동 1558번지 오스타파라곤1단지,,,37.6341906,126.7034041,2019-05-08
유현마을현대프라임빌,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,3,1,Y,"경기도 김포시 유현로51, (풍무동, 유현마을현대프라임빌2단지)",경기도 김포시 풍무동 759번지 유현마을현대프라임빌2단지,,,37.5972456,126.7262738,2019-05-08
이니스더원아파트,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,2,1,Y,"경기도 김포시 김포한강3로290-16, (장기동, 고창마을이니스더원)",경기도 김포시 장기동 1635번지 고창마을이니스더원,,,37.6421275,126.6605268,2019-05-08
일성트루엘타운하우스,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,2,0,Y,"경기도 김포시 김포한강1로307, (운양동, 하늘빛마을일성트루엘아파트)",경기도 김포시 운양동 1294-2번지 하늘빛마을일성트루엘아파트,,,37.6524793,126.690179,2019-05-08
청구한라,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,"경기도 김포시 사우중로73번길11, (북변동)",경기도 김포시 북변동 815번지 풍년마을청구한라아파트,,,37.6208058,126.7194836,2019-05-08
청송현대홈타운 1단지,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,"경기도 김포시 청송로70, (장기동, 청송마을현대1단지)",경기도 김포시 장기동 1339번지 청송마을현대1단지,,,37.6516125,126.6722667,2019-05-08
청송현대홈타운3단지,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,3,1,Y,"경기도 김포시 청송로19, (장기동, 청송마을현대3단지)",경기도 김포시 장기동 1312번지 청송마을현대3단지,,,37.6491942,126.6679469,2019-05-08
한강신도시 반도유보라5차 아파트,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,3,0,Y,"경기도 김포시 김포한강9로116, (구래동, 한강신도시반도유보라5차)",경기도 김포시 구래동 6873-19번지 한강신도시반도유보라5차,,,37.6473600,126.6258265,2019-05-08
한강화성파크드림 아파트,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,"경기도 김포시 김포한강11로38, (운양동, 모담마을한강화성파크드림)",경기도 김포시 운양동 1325-7번지 모담마을한강화성파크드림,,,37.6447339,126.6912893,2019-05-08
유카스주유소,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,2,Y,경기도 김포시 양촌읍 김포대로 1581,경기도 김포시 양촌읍 누산리 295-7번지,,,37.6622877,126.6617403,2019-05-08
이마트 김포한강점,주차장내,경기도,"매월2,4주수요일",10:00,23:00,N,Y,,0,1,Y,경기도 김포시 김포한강7로 71,경기도 김포시 구래동 6880-9번지,,,37.6443342,126.6282844,2019-05-08
롯데마트 김포한강점,주차장내,경기도,"매월2,4주수요일",10:00,23:00,N,Y,,0,2,Y,"경기도 김포시 김포한강2로41, (장기동, 이편한세상캐널시티)",경기도 김포시 장기동 2031번지 이편한세상캐널시티,,,37.6412658,126.6776061,2019-05-08
운양동 반도유보라2차,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,2,1,Y,"경기도 김포시 김포한강11로276, (운양동, 김포한강신도시반도유보라2차)",경기도 김포시 운양동 1300-3번지 김포한강신도시반도유보라2차,,,37.6548572,126.6804025,2019-05-08
마산동 상록데시앙,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,2,1,Y,"경기도 김포시 김포한강8로173-27, (마산동, 은여울마을상록데시앙아파트)",경기도 김포시 마산동 672-6번지 은여울마을상록데시앙아파트,,,37.6368274,126.6421881,2019-05-08
감정동 신안실크1차,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,5,2,Y,"경기도 김포시 감정로64, (감정동, 푸른마을신안실크밸리1단지)",경기도 김포시 감정동 686번지 푸른마을신안실크밸리1단지,,,37.6194298,126.6999222,2019-05-08
김포본동행정복지센터,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,1,0,Y,경기도 김포시 북변1로 13,경기도 김포시 북변동 703번지,,,37.6275668,126.7057395,2019-05-08
장기본동행정복지센터,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,1,0,Y,경기도 김포시 김포대로 1433,경기도 김포시 장기동 1338번지,,,37.6523089,126.671699,2019-05-08
사우동행정복지센터,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 돌문로 51,경기도 김포시 사우동 236-2번지,,,37.6193075,126.7167454,2019-05-08
풍무동행정복지센터,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 풍무로 74,경기도 김포시 풍무동 804번지,,,37.6021464,126.7220342,2019-05-08
장기동행정복지센터,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 김포한강2로 112,경기도 김포시 장기동 2055-2번지,,,37.6397267,126.6713337,2019-05-08
운양동행정복지센터,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 모담공원로 32,경기도 김포시 운양동 1326-1번지,,,37.6514378,126.6832166,2019-05-08
양촌읍행정복지센터,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 양촌읍 양곡1로68번길 37,경기도 김포시 양촌읍 양곡리 1554번지,,,37.6572033,126.6254299,2019-05-08
구래동행정복지센터,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 김포한강9로115번길 25,경기도 김포시 구래동 6872-5번지,,,37.6464790,126.6236784,2019-05-08
양촌독립운동기념관,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 양촌읍 양곡2로30번길 46,경기도 김포시 양촌읍 양곡리 1331번지,,,37.6533245,126.6296943,2019-05-08
김포시청,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 사우중로 1,경기도 김포시 사우동 263-1번지,,,37.6152236,126.7157055,2019-05-08
통진두레문화센터,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,2,Y,경기도 김포시 통진읍 김포대로 2347-8,경기도 김포시 통진읍 마송리 160-27번지,,,37.6958439,126.5870159,2019-05-08
홈플러스 풍무점,주차장내,경기도,"매월2,4주수요일",10:00,23:59,N,Y,,0,1,Y,경기도 김포시 풍무로 167,경기도 김포시 풍무동 38-1번지,,,37.6099628,126.7241205,2019-05-08
운양동 풍경마을 이편한세상,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,"경기도 김포시 김포한강11로287, (운양동, 한강신도시이편한세상)",경기도 김포시 운양동 1250-3번지 한강신도시이편한세상,,,37.6562764,126.681624,2019-05-08
구래동 호수마을 이편한세상,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,"경기도 김포시 김포한강5로385, (구래동, 호수마을자연앤이편한세상)",경기도 김포시 구래동 6874-17번지 호수마을자연앤이편한세상,,,37.6496640,126.6302601,2019-05-08
장기동 KCC스위첸,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,4,1,Y,"경기도 김포시 김포한강2로208, (장기동, 고창마을케이씨씨스위첸아파트)",경기도 김포시 장기동 1886-2번지 고창마을케이씨씨스위첸아파트,,,37.6469621,126.6617885,2019-05-08
한강신도시 푸르지오,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,3,1,Y,"경기도 김포시 김포한강11로179, (운양동, 한강신도시푸르지오)",경기도 김포시 운양동 1407-5번지 한강신도시푸르지오,,,37.6488075,126.6776312,2019-05-08
운양동 롯데캐슬,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,2,1,Y,"경기도 김포시 김포한강11로275, (운양동, 한강신도시롯데캐슬)",경기도 김포시 운양동 1301-1번지 한강신도시롯데캐슬,,,37.6546772,126.6780031,2019-05-08
운양동 풍경마을 래미안,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,"경기도 김포시 김포한강11로227, (운양동, 풍경마을래미안한강2차아파트)",경기도 김포시 운양동 1304-5번지 풍경마을래미안한강2차아파트,,,37.6532938,126.6743559,2019-05-08
양곡휴먼시아2단지,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,"경기도 김포시 양촌읍 양곡3로129, (양곡리)",경기도 김포시 양촌읍 양곡리 1247번지 양곡휴먼시아곡촌마을,,,37.6617123,126.6358758,2019-05-08
김포시 청소년수련원 주차장,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 월곶면 용강로13번길 38,경기도 김포시 월곶면 군하리 435-14번지,,,37.7208027,126.5522083,2019-05-08
김포시 신화아파트,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,3,1,Y,"경기도 김포시 봉화로167번길35-18, (감정동, 신화아파트)",경기도 김포시 감정동 674번지 신화아파트,,,37.6249843,126.701944,2019-05-08
김포한강우남퍼스트빌,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,4,1,Y,"경기도 김포시 김포한강2로103, (장기동, 초당마을우남퍼스트빌아파트)",경기도 김포시 장기동 2065-1번지 초당마을우남퍼스트빌아파트,,,37.6363914,126.673591,2019-05-08
백석마을 신일해피트리,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,2,1,Y,"경기도 김포시 통진읍 김포대로1991, (도사리, 백석마을신일해피트리아파트)",경기도 김포시 통진읍 도사리 972번지 백석마을신일해피트리아파트,,,37.6805983,126.621235,2019-05-08
수기마을 힐스테이트2단지,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 고촌읍 수기로 67-53,경기도 김포시 고촌읍 신곡리 1256번지 수기마을힐스테이트2단지,,,37.5955189,126.7690843,2019-05-08
김포경찰서,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 태장로795번길 65,경기도 김포시 장기동 2083-7번지,,,37.6375473,126.681071,2019-05-08
아하정보통신,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,1,0,Y,경기도 김포시 양촌읍 황금로109번길 67,경기도 김포시 양촌읍 학운리 3011번지,,,37.6157570,126.6230891,2019-05-08
김포한강신도시 푸르지오3차,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,2,0,Y,"경기도 김포시 김포한강8로409, (구래동, 김포한강푸르지오3차아파트)",경기도 김포시 구래동 6895-2번지 김포한강푸르지오3차아파트,,,37.6396716,126.6224896,2019-05-08
센트럴자이 1차 아파트,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,12,0,Y,"경기도 김포시 태장로845, (장기동, 한강센트럴자이1단지)",경기도 김포시 장기동 2128-1번지 한강센트럴자이1단지,,,37.6357465,126.6771487,2019-05-08
센트럴자이 2차 아파트,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,4,0,Y,"경기도 김포시 태장로846, (장기동, 한강센트럴자이2단지)",경기도 김포시 장기동 867번지 한강센트럴자이2단지,,,37.6356250,126.6727435,2019-05-08
월곶면행정복지센터,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 월곶면 군하로 263,경기도 김포시 월곶면 군하리 188-11번지,,,37.7151688,126.5527148,2019-05-08
민원콜센터,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,1,0,Y,경기도 김포시 고촌읍 수기로 63,경기도 김포시 고촌읍 신곡리 1252번지,,,37.5976508,126.7661503,2019-05-08
고촌읍행정복지센터,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 김포시 고촌읍 장차로 14,경기도 김포시 고촌읍 신곡리 530-1번지,,,37.6032512,126.7709616,2019-05-08
운양동 전원마을월드2단지,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,"경기도 김포시 전원로44, (운양동, 전원마을월드2단지)",경기도 김포시 운양동 1435번지 전원마을월드2단지,,,37.6468247,126.6848391,2019-05-08
장기동 초당마을 중흥S클래스,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,"경기도 김포시 김포한강2로113, (장기동, 초당마을중흥에스클래스리버티)",경기도 김포시 장기동 2058-1번지 초당마을중흥에스클래스리버티,,,37.6376583,126.6684813,2019-05-08
장기동 호반베르디움,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,10,1,Y,"경기도 김포시 김포한강2로229, (장기동, 한강호반베르디움)",경기도 김포시 장기동 1885-6번지 한강호반베르디움,,,37.6477356,126.6608681,2019-05-08
김포한강상록데시앙,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,2,1,Y,"경기도 김포시 김포한강8로173-27, (마산동, 은여울마을상록데시앙아파트)",경기도 김포시 마산동 672-6번지 은여울마을상록데시앙아파트,,,37.6368274,126.6421881,2019-05-08
은여울마을 경남아너스빌,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,3,1,Y,"경기도 김포시 김포한강8로173-58, (마산동, 은여울마을경남아너스빌아파트)",경기도 김포시 마산동 639-8번지 은여울마을경남아너스빌아파트,,,37.6372596,126.6366965,2019-05-08
장릉마을 삼성쉐르빌,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,3,1,Y,"경기도 김포시 승가로89, (풍무동, 장릉마을삼성1단지)",경기도 김포시 풍무동 740번지 장릉마을삼성1단지,,,37.6055689,126.7078305,2019-05-08
청송6단지 중흥S클래스파크애비뉴아파트,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,3,1,Y,"경기도 김포시 김포한강2로362, (장기동, 청송마을중흥에스클래스)",경기도 김포시 장기동 1866-1번지 청송마을중흥에스클래스,,,37.6508741,126.6667044,2019-05-08
한강신도시 이지더원 아파트,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,2,0,Y,"경기도 김포시 김포한강2로178, (장기동, 고창마을이지더원)",경기도 김포시 장기동 1626번지 고창마을이지더원,,,37.6440806,126.6659193,2019-05-08
호수마을자연&e편한세상 3단지 아파트,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,3,1,Y,"경기도 김포시 김포한강4로420번길164, (구래동, 호수마을자연앤이편한세상)",경기도 김포시 구래동 6874-6번지 호수마을자연앤이편한세상,,,37.6479517,126.6286711,2019-05-08
김포대학교,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,2,0,Y,경기도 김포시 월곶면 김포대학로 97,경기도 김포시 월곶면 포내리 111-9번지,,,37.7299773,126.5472881,2019-05-08
양곡휴먼시아1단지,주차장내,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,"경기도 김포시 양촌읍 양곡3로101, (양곡리)",경기도 김포시 양촌읍 양곡리 1249번지 양곡휴먼시아곡촌마을,,,37.6600271,126.6366206,2019-05-08
수기마을 힐스테이트3단지,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,2,0,Y,"경기도 김포시 고촌읍 수기로39-13, (신곡리, 수기마을힐스테이트3단지)",경기도 김포시 고촌읍 신곡리 1248번지 수기마을힐스테이트3단지,,,37.6001272,126.7668795,2019-05-08
학운리 자연앤데시앙,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,2,1,Y,"경기도 김포시 양촌읍 황금로89번길25, (학운리, 자연앤데시앙아파트)",경기도 김포시 양촌읍 학운리 3019번지 자연앤데시앙아파트,,,37.6186425,126.6240553,2019-05-08
오스타파라곤3단지,주차장내,경기도,연중무휴,00:00,23:59,Y,N,,3,0,Y,"경기도 김포시 걸포1로39, (걸포동, 오스타파라곤3단지)",경기도 김포시 걸포동 1555번지 오스타파라곤3단지,,,37.6364601,126.7065938,2019-05-08
유현마을 신동아아파트,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,"경기도 김포시 유현로19, (풍무동, 유현마을신동아1단지)",경기도 김포시 풍무동 583-6번지 유현마을신동아1단지,,,37.5975432,126.7246268,2019-05-08
풍년마을 신일아파트,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,1,2,Y,"경기도 김포시 김포대로926번길88-27, (북변동, 풍년마을신일2단지)",경기도 김포시 북변동 812번지 풍년마을신일2단지,,,37.6231976,126.7181966,2019-05-08
풍무동푸르지오,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,1,2,Y,"경기도 김포시 유현로200, (풍무동, 풍무푸르지오아파트)",경기도 김포시 풍무동 354-1번지 풍무푸르지오아파트,,,37.6096027,126.7325191,2019-05-08
에코센터 주차장,주차장내,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,경기도 김포시 김포한강11로 455,경기도 김포시 운양동 1246-1번지,,,37.6547791,126.6993521,2019-05-08
롯데마트덕소점,외부주차장,경기도,"매월2,4주 수요일",10:00,23:00,N,Y,,0,1,Y,경기도 남양주시 와부읍 월문천로 33,경기도 남양주시 와부읍 덕소리 501-3번지,환경부,,37.5846970489,127.2140219412,2020-01-30
와부읍 제3공영주차장,외부주차장,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 남양주시 와부읍 덕소로 237,경기도 남양주시 와부읍 도곡리 1024-2번지,환경부,,37.5796319192,127.2226566662,2020-01-30
유기농테마파크,외부주차장,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,경기도 남양주시 조안면 북한강로 881,경기도 남양주시 조안면 삼봉리 182번지,한충전,,37.5960335635,127.3367190274,2020-01-30
오남체육문화센터,외부주차장,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,경기도 남양주시 오남읍 진건오남로577번길 11,경기도 남양주시 오남읍 오남리 538-1번지,지엔텔,,37.6848687401,127.2098426820,2020-01-30
진건·퇴계원행정복지센터,외부주차장,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,경기도 남양주시 진건읍 진건오남로 41-19,경기도 남양주시 진건읍 사능리 645-1번지,지엔텔,,37.65460648,127.1776870173,2020-01-30
화도 제7공영주차장,외부주차장,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,,경기도 남양주시 화도읍 창현리 734,한충전,,37.65086471,127.3036240270,2020-01-30
화도 제2공영주차장,외부주차장,경기도,연중무휴,00:00,23:59,N,Y,,0,1,Y,,경기도 남양주시 화도읍 마석우리 338-1,환경부,,37.65314135,127.3017173,2020-01-30
이마트 진접점,내부주차장,경기도,"매월2,4주 수요일",10:00,23:00,N,Y,,0,1,Y,경기도 남양주시 진접읍 금강로유연들1길 154,경기도 남양주시 진접읍 연평리 101-14번지,한국전력,,37.7088304239,127.1820304882,2020-01-30
별내동이마트,내부주차장,경기도,"매월2,4주 수요일",10:00,23:00,Y,N,,1,0,Y,경기도 남양주시 순화궁로 167,경기도 남양주시 별내동 989번지,포스코,,37.6428114556,127.1259687922,2020-01-30
별내동행정복지센터,외부주차장,경기도,연중무휴,00:00,23:59,N,Y,,0,2,Y,경기도 남양주시 별내3로 64-21,경기도 남양주시 별내동 1028번지,환경부한충전,,37.6461674073,127.1218816736,2020-01-30
별내동제1공영주차장,외부주차장,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,,경기도 남양주시 별내동 935,한충전,,37.65591536,127.1258725,2020-01-30
다산동제2공영주차장,외부주차장,경기도,연중무휴,00:00,23:59,Y,Y,,1,1,Y,,경기도 남양주시 다산동 664,한충전,,37.60478345,127.1579276,2020-01-30
도농동이마트,내부주차장,경기도,"매월2,4주 수요일",10:00,23:00,Y,Y,,1,1,Y,경기도 남양주시 도농로 24,경기도 남양주시 다산동 4001-29,환경부(급)포스코(완),,37.6082042050,127.1577526618,2020-01-30
